"0687801        ";" CARRINHO SHELBY MDF R93 KIXIKI                                                                     ";06878;047689;01;10;1005;1130;KIXIKI;"06878016       ";1;0;UN;".        ";NOR;20220811;9999999;9999999
"0622301        ";"MÁSCARA  MANDIOCA HASKELL 300G                                                                      ";06223;005146;01;15;1505;0827;HASKELL;"7898610375037  ";4;0;UN;".        ";NOR;20221223;9999999;9999999
"0567301        ";"CREME PARA MÃOS AÇAÍ KISS NEW YORK 30G                                                              ";05673;005322;01;01;0104;0631;F.KISS;"731509973563   ";6;0;UN;"ACAI     ";NOR;20220910;9999999;9999999
"0152201        ";"PRIMER BB BLUR TRACTA MÉDIO 30G                                                                     ";01522;003540;01;04;0402;1911;TRACTA;"7896032642713  ";3;0;UN;"MEDIO    ";NOR;20221213;9999999;9999999
"0576901        ";"MÁSCARA DE CÍLIOS SUPER FILME VULT 10G                                                              ";05769;003903;01;04;0404;2111;VULT;"7899852017211  ";2;0;UN;".        ";NOR;20221226;9999999;9999999
"0615801        ";" LIP TINT  VERMELHO BOCA ROSA 10ML                                                                  ";06158;047666;01;04;0403;0285;BOCA ROSA;"7896609543818  ";4;0;UN;".        ";NOR;20221223;9999999;9999999
"0613702        ";"LAPISEIRA P/ OLHOS VIBE LARANJA VULT 4G                                                             ";06137;003903;01;04;0404;2111;VULT;"7899852019932  ";6;0;UN;VIBLARANJ;NOR;20220713;9999999;9999999
"0186702        ";"LIXA PARA UNHAS BLOCO RETA BRANCA FIRST KISS                                                        ";01867;005322;01;01;0101;0631;F.KISS;"731509736786   ";6;0;UN;"BRANCA   ";NOR;20221110;9999999;9999999
"9539003        ";"SABONETE VEGETAL ROSAS DAVENE 200G                                                                  ";95390;005300;01;05;0502;0429;DAVENE;"7898489512038  ";1;0;UN;"ROSA     ";DAG;20220504;9999999;9999999
"8920801        ";"KIT VIAGEM RICCA MANDALA 3311                                                                       ";89208;000887;00;05;0507;1704;RICCA;"7897517933111  ";1;0;UN;"3311     ";NOR;20221224;9999999;9999999
"0511001        ";"PINCEL OVAL PARA ESFUMAR MP9-2 A MEILYS                                                             ";05110;047607;01;04;0401;1371;MEILYS;"7908153824821  ";3;0;UN;".        ";NOR;20220505;9999999;9999999
"8938811        ";"TONALIZANTE AMEND SUPÉRIA COLOR 673 50G                                                             ";89388;047631;01;24;2403;1870;SUPERIA;"7896852615317  ";1;0;UN;"673      ";NOR;20220621;9999999;9999999
"0530844        ";"ESMALTE DANÇARINO STUDIO 35 9ML                                                                    ";05308;047614;01;01;0105;1872;STUDIO 35;"7898624393102  ";12;0;UN;DANCARINO;NOR;20220131;9999999;9999999
"0623904        ";"RETOK HAIR SPY  LOIRO ANACONDA  50ML                                                                ";06239;047669;01;24;2405;0146;ANACONDA;"7891239026038  ";4;0;UN;"LOIRO    ";NOR;20220328;9999999;9999999
"8587704        ";"PÓ DESCOLORANTE REFIL QUERATINA YAMÁ 300G                                                           ";85877;000477;01;24;2408;2402;YAMA;"7896150015741  ";3;0;UN;QUERATINA;DAG;20221224;9999999;9999999
"0600201        ";"SHAMPOO REJUTHERAPY INOAR 400ML                                                                     ";06002;005118;01;15;1501;0915;INOAR;"7908124405745  ";4;0;UN;".        ";NOR;20221220;9999999;9999999
"0333901        ";"CREME PARA PENTEAR INOAR BLENDS VITAMINA C, ÓLEOS BOTÂNICOS E VEGANOS 1KG                           ";03339;005118;01;15;1508;0915;INOAR;"7908124402256  ";1;0;UN;".        ";NOR;20221222;9999999;9999999
"9093701        ";"ESCOVA DESEMBARAÇANTE NEON  MARCO BONI  REF 8076                                                    ";90937;000092;00;22;2201;1336;M.BONI;"7896025523401  ";1;0;UN;".        ";NOR;20220318;9999999;9999999
"9198201        ";"KIT VIAGEM 2 FRACOS R3314 RICCA                                                                     ";91982;000887;00;05;0507;1704;RICCA;"7897517933142  ";1;0;UN;"R3314    ";NOR;20221223;9999999;9999999
"0392501        ";"GEL PIMENTA NEGRA BIO SOFT 750G                                                                     ";03925;005175;01;06;0602;1841;SOFT HAIR;"7896115142697  ";1;0;UN;".        ";NOR;20220913;9999999;9999999
